City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nantucket,41.2835,-70.0995,260.21,42,100,13.38,US,1675476745
84,thompson,55.7435,-97.8558,253.24,77,100,1.54,CA,1675476811
85,portland,45.5234,-122.6762,283.6,85,40,4.47,US,1675476652
86,kaitangata,-46.2817,169.8464,296.16,63,23,3.66,NZ,1675476811
87,ossora,59.2353,163.0719,263.8,88,100,3.0,RU,1675476812
88,banjar,-8.19,114.9675,300.52,81,100,2.15,ID,1675476812
89,tadine,-21.55,167.8833,302.33,73,100,6.72,NC,1675476812
90,barrow,71.2906,-156.7887,247.16,84,40,6.17,US,1675476813
91,avera,33.194,-82.5271,279.88,56,0,3.23,US,1675476813
92,chuy,-33.6971,-53.4616,293.31,87,95,4.94,UY,1675476813
93,gat,31.61,34.7642,285.59,100,67,5.07,IL,1675476661
94,hobart,-42.8794,147.3294,288.74,90,75,5.14,AU,1675476814
95,cherskiy,68.75,161.3,241.95,100,91,0.47,RU,1675476758
96,novikovo,51.1537,37.8879,269.1,94,66,2.29,RU,1675476814
97,novyy urengoy,66.0833,76.6333,261.46,92,100,2.57,RU,1675476815
98,pacific grove,36.6177,-121.9166,286.52,88,100,3.13,US,1675476591
99,chapais,49.7834,-74.8492,238.03,89,100,6.48,CA,1675476815
100,iquique,-20.2208,-70.1431,296.17,78,69,1.14,CL,1675476780
101,saint anthony,45.0205,-93.218,257.2,60,75,6.69,US,1675476593
102,port alfred,-33.5906,26.891,294.36,91,6,1.79,ZA,1675476816
103,iqaluit,63.7506,-68.5145,237.42,66,91,6.71,CA,1675476816
104,brakel,51.7167,9.1833,278.64,92,100,5.36,DE,1675476817
105,ancud,-41.8697,-73.8203,288.95,81,0,1.17,CL,1675476817
106,magadan,59.5667,150.8,256.63,75,76,1.74,RU,1675476817
107,bafra,41.5678,35.9069,276.51,96,100,0.98,TR,1675476818
108,salalah,17.0151,54.0924,294.2,73,20,1.54,OM,1675476818
